filename,num-closed,combination,mic,sweep,onset
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2407_mic_2_sweep_2.wav,24,2407,2,2,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2193_mic_3_sweep_2.wav,22,2193,3,2,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1576_mic_3_sweep_3.wav,16,1576,3,3,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2004_mic_5_sweep_2.wav,20,2004,5,2,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1769_mic_1_sweep_1.wav,18,1769,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2336_mic_4_sweep_4.wav,23,2336,4,4,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2270_mic_3_sweep_3.wav,23,2270,3,3,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2040_mic_4_sweep_1.wav,20,2040,4,1,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1695_mic_3_sweep_2.wav,17,1695,3,2,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2046_mic_1_sweep_4.wav,21,2046,1,4,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1782_mic_5_sweep_1.wav,18,1782,5,1,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2503_mic_1_sweep_1.wav,25,2503,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2502_mic_1_sweep_1.wav,25,2502,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2047_mic_1_sweep_2.wav,21,2047,1,2,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_20_numComb_2041_mic_4_sweep_1.wav,20,2041,4,1,1888
